chromosome	wind.start	wind.end	mean_TD	count_TD	mean_ND	count_ND	mean_FST	count_FST	
PvP01_01	35101	35300	0.671839606672735	6	1.78979942783065	7	0.147588046387109	7	
PvP01_01	53401	53600	0.825535020816891	6	3.25093391660617	7	0.194996746913381	7	
PvP01_01	54201	54400	0.804003586482892	6	2.31111303913325	7	-0.890474333826811	7	
PvP01_01	54301	54500	0.978883835460449	5	2.51676159431811	7	-0.907065980011162	7	
PvP01_01	58701	58900	0.784699160457445	6	2.20540677027483	7	0.412122608117377	7	
PvP01_01	58801	59000	0.825379480843382	6	3.43861408247371	7	0.297185229754781	7	
PvP01_01	59201	59400	1.04113414525221	5	3.81757176657877	7	-0.0644608699968788	7	
PvP01_01	59301	59500	0.820510941202831	6	5.01965982808802	7	-0.232250149975186	7	
PvP01_01	67801	68000	1.08123945915001	7	5.27865495540656	7	-0.103109435775064	6	
PvP01_01	67901	68100	1.35603626018705	6	4.99527777807571	8	0.163327079479361	8	
PvP01_01	68001	68200	1.37694075605259	6	6.19514978819744	8	0.073585592782507	7	
PvP01_01	68901	69100	1.13000016771122	7	4.10210713321941	7	0.12896235049872	7	
PvP01_01	70601	70800	1.32698198627259	5	2.08666642266829	7	0.178803468611231	7	
PvP01_01	70701	70900	1.40304073575931	5	2.69278549725006	7	0.140605506425638	7	
PvP01_01	70801	71000	1.10181259859997	6	2.11385586377264	7	0.235382394223787	7	
PvP01_01	70901	71100	0.977560254109524	7	1.51772460851289	7	0.296067155612763	7	
PvP01_01	71001	71200	1.37946023506304	5	2.44054443242738	7	0.172026731638865	7	
PvP01_01	71401	71600	1.04610673079248	7	2.92555809818107	7	-0.0416316367673488	7	
PvP01_01	82201	82400	1.03554810883533	7	3.70493959739433	7	0.111145412967029	6	
PvP01_01	82301	82500	0.910845373599139	6	2.60659941286966	7	0.169656461338337	7	
PvP01_01	82401	82600	1.3293970213072	4	3.68398188253256	7	0.169814386405229	7	
PvP01_01	82501	82700	1.57591925991017	5	6.26398351085262	7	0.107416154098728	7	
PvP01_01	82601	82800	1.40766436442616	5	6.88440283384	7	0.0846776528328077	6	
PvP01_01	92501	92700	1.09323150473771	5	2.72184845686539	7	0.231702409559826	7	
PvP01_01	96601	96800	2.24183830340413	3	5.22072661381594	7	-0.565074199074802	6	
PvP01_01	97301	97500	2.08781563939004	3	6.18813704498541	7	0.136628234766353	7	
PvP01_01	98301	98500	0.357193839461638	7	0.507855936404049	7	0.129575697560073	7	
PvP01_01	98401	98600	0.353587156401642	7	0.388219860484542	7	0.160026972089609	7	
PvP01_01	100101	100300	0.535877294929601	7	0.205741680471783	7	0.341037880021152	8	
PvP01_01	104201	104400	0.925276868667742	7	0.520189530867603	7	0.436988146951525	8	
PvP01_01	106201	106400	0.530958964570142	7	0.269747207959666	7	-2.57035127184419	4	
PvP01_01	106301	106500	0.449649554072757	7	0.367242836023451	7	-0.209390417842325	7	
PvP01_01	113701	113900	1.01114522624913	7	0.418639796088633	7	-4.00132023055978	5	
PvP01_01	118101	118300	0.746317085953684	7	0.245379556269231	7	0.525256966942921	8	
PvP01_01	131101	131300	0.817289988111235	7	0.704535334353526	7	0.451989665738773	8	
PvP01_01	143001	143200	0.794410526223252	7	0.403550787643281	7	0.162951059007559	8	
PvP01_01	157001	157200	0.666114138654976	8	0.420494882207365	8	0.187069783835788	8	
PvP01_01	169401	169600	0.576805446183123	8	0.54277724430544	8	0.166804816588626	8	
PvP01_01	174501	174700	0.931419699244136	8	0.485397055664406	8	0.178349259290161	8	
PvP01_01	174601	174800	0.901054677748984	8	0.43310947396506	8	0.185585106542316	8	
PvP01_01	210701	210900	0.846662939529465	7	0.216505951205012	7	0.43970344627601	8	
PvP01_01	216401	216600	0.744515459933951	8	0.761545888305219	8	0.0904599257431929	8	
PvP01_01	216501	216700	0.666038676247563	8	0.768654460243737	8	0.233682019835362	8	
PvP01_01	220801	221000	0.759414729887305	7	0.398704471870917	7	0.479636165420912	8	
